code,category,value,areaName
E12000007,Romani,27,London
E12000007,Yiddish,4016,London
E12000007,Russian,31906,London
E12000007,Turkish,69641,London
E12000007,Arabic,72102,London
E12000007,Hebrew,4421,London
E12000007,Kurdish,15097,London
E12000007,Farsi,39233,London
E12000007,Pashto,18628,London
E12000007,otherWCAsian,5619,London
E12000007,Urdu,63626,London
E12000007,Hindi,20485,London
E12000007,Panjabi,74205,London
E12000007,Pahari,286,London
E12000007,Bengali,101975,London
E12000007,Gujarati,82610,London
E12000007,Marathi,3601,London
E12000007,Telugu,8883,London
E12000007,Tamil,70673,London
E12000007,Malayalam,12376,London
E12000007,Sinhala,4898,London
E12000007,Nepalese,21017,London
E12000007,otherSAsian,8749,London
E12000007,Mandarin,10146,London
E12000007,Cantonese,15513,London
E12000007,otherChinese,33970,London
E12000007,Japanese,13564,London
E12000007,Korean,6480,London
E12000007,Vietnamese,8420,London
E12000007,Thai,4434,London
E12000007,Malay,2238,London
E12000007,Tagalog,23459,London
E12000007,otherEAsian,3462,London
E12000007,Oceanic,103,London
E12000007,NSAmerican,29,London
E12000007,EnglishCreole,59,London
E12000007,otherCreole,803,London
E12000007,Amharic,6409,London
E12000007,Tigrinya,8443,London
E12000007,Somali,37346,London
E12000007,Krio,595,London
E12000007,Akan,9168,London
E12000007,Yoruba,5175,London
E12000007,Igbo,5087,London
E12000007,Swahili,3225,London
E12000007,Luganda,1361,London
E12000007,Lingala,3600,London
E12000007,Shona,1020,London
E12000007,Afrikaans,1565,London
E12000007,otherNigerian,1649,London
E12000007,otherWAfrican,4002,London
E12000007,otherAfrican,3425,London
E12000007,BSL,4270,London
E12000007,otherSignLang,238,London
E12000007,otherSignComm,399,London
E12000007,other,2454,London
E12000008,N/A,288234,South East
E12000008,English,8340941,South East
E12000008,Welsh,866,South East
E12000008,IrishGaelic,84,South East
E12000008,ScottishGaelic,20,South East
E12000008,ManxGaelic,1,South East
E12000008,Gaelic,39,South East
E12000008,Cornish,14,South East
